Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I;101;-46225,87651;92653,75302;93188,07260
JTT;+G;100;-46237,45203;92674,90406;93203,93334
WAG;+G+I+F;120;-46220,27189;92680,54378;93315,37892
VT;+G+I;101;-46240,12983;92682,25966;93216,57924
JTT;+G+I+F;120;-46238,56574;92717,13148;93351,96662
VT;+G+I+F;120;-46239,51273;92719,02546;93353,86060
LG;+G+I;101;-46262,85690;92727,71380;93262,03338
JTT;+G+F;119;-46248,48626;92734,97252;93364,51737
LG;+G;100;-46271,95676;92743,91352;93272,94280
LG;+G+I+F;120;-46260,86766;92761,73532;93396,57046
WAG;+G+I;101;-46324,69267;92851,38534;93385,70492
CpREV;+G+I+F;120;-46406,12173;93052,24346;93687,07860
RtREV;+G+I+F;120;-46464,35427;93168,70854;93803,54368
CpREV;+G+I;101;-46501,32116;93204,64232;93738,96190
DCMut;+G+I+F;120;-46490,62892;93221,25784;93856,09298
Dayhoff;+G+I+F;120;-46491,01112;93222,02224;93856,85738
Blosum62;+G+I+F;120;-46516,45297;93272,90594;93907,74108
Blosum62;+G+I;101;-46546,99645;93295,99290;93830,31248
Flu;+G+I+F;120;-46777,86124;93795,72248;94430,55762
MtZoa;+G+I+F;120;-46862,99594;93965,99188;94600,82702
HIVb;+G+I+F;120;-46877,36286;93994,72572;94629,56086
Flu;+G+I;101;-46946,95693;94095,91386;94630,23344
MtREV;+G+I+F;120;-46933,67655;94107,35310;94742,18824
HIVb;+G+I;101;-47019,02633;94240,05266;94774,37224
AB;+G+I+F;120;-47176,57645;94593,15290;95227,98804
MtArt;+G+I+F;120;-47466,12595;95172,25190;95807,08704
HIVw;+G+I+F;120;-47651,13707;95542,27414;96177,10928
MtMam;+G+I+F;120;-47713,02785;95666,05570;96300,89084
