Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;157;-47817,92736;95949,85472;96770,25531
LG;+G+I+F;158;-47818,00620;95952,01240;96777,63847
WAG;+G+F;157;-47853,66851;96021,33702;96841,73761
VT;+G+F;157;-47862,55016;96039,10032;96859,50091
JTT;+G+F;157;-47932,15549;96178,31098;96998,71157
LG;+G;138;-47996,33906;96268,67812;96989,79456
LG;+G+I;139;-47996,41204;96270,82408;96997,16600
VT;+G;138;-47997,25682;96270,51364;96991,63008
RtREV;+G+F;157;-48021,36533;96356,73066;97177,13125
JTT;+G;138;-48041,92480;96359,84960;97080,96604
Blosum62;+G+F;157;-48046,01713;96406,03426;97226,43485
CpREV;+G+F;157;-48083,98340;96481,96680;97302,36739
Blosum62;+G;138;-48207,02131;96690,04262;97411,15906
DCMut;+G+F;157;-48197,77777;96709,55554;97529,95613
Dayhoff;+G+F;157;-48199,12500;96712,25000;97532,65059
Flu;+G+F;157;-48466,18556;97246,37112;98066,77171
MtZoa;+G+F;157;-48486,29125;97286,58250;98106,98309
HIVb;+G+F;157;-48534,94489;97383,88978;98204,29037
MtREV;+G+F;157;-48565,06719;97444,13438;98264,53497
MtArt;+G+F;157;-49076,50623;98467,01246;99287,41305
AB;+G+F;157;-49123,34801;98560,69602;99381,09661
MtMam;+G+F;157;-49332,58101;98979,16202;99799,56261
HIVw;+G+F;157;-49461,24251;99236,48502;100056,88561
