Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;192;-62757,01993;125898,03986;126880,85449
LG;+G+F;191;-62765,38038;125912,76076;126890,45657
LG;+G+I;173;-62893,85414;126133,70828;127019,26522
WAG;+G+I+F;192;-62874,52905;126133,05810;127115,87273
LG;+G;172;-62902,04280;126148,08560;127028,52371
VT;+G+I+F;192;-62890,73431;126165,46862;127148,28325
CpREV;+G+I+F;192;-63030,87559;126445,75118;127428,56581
JTT;+G+I+F;192;-63038,60987;126461,21974;127444,03437
RtREV;+G+I+F;192;-63057,32602;126498,65204;127481,46667
Blosum62;+G+I+F;192;-63211,99490;126807,98980;127790,80443
CpREV;+G+I;173;-63295,14574;126936,29148;127821,84842
Blosum62;+G+I;173;-63373,95271;127093,90542;127979,46236
Dayhoff;+G+I+F;192;-63383,19027;127150,38054;128133,19517
DCMut;+G+I+F;192;-63383,80523;127151,61046;128134,42509
MtZoa;+G+I+F;192;-63433,43005;127250,86010;128233,67473
MtREV;+G+I+F;192;-63561,56681;127507,13362;128489,94825
Flu;+G+I+F;192;-63839,74703;128063,49406;129046,30869
HIVb;+G+I+F;192;-63932,48887;128248,97774;129231,79237
MtZoa;+G+I;173;-64182,96391;128711,92782;129597,48476
MtArt;+G+I+F;192;-64168,01411;128720,02822;129702,84285
AB;+G+I+F;192;-64315,38169;129014,76338;129997,57801
MtMam;+G+I+F;192;-64685,63123;129755,26246;130738,07709
HIVw;+G+I+F;192;-65464,27776;131312,55552;132295,37015
