Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;43;-10649,02463;21384,04926;21608,01907
WAG;+G+F;43;-10649,43128;21384,86256;21608,83237
LG;+G+I+F;44;-10648,93796;21385,87592;21615,05433
CpREV;+G+F;43;-10663,11240;21412,22480;21636,19461
VT;+G+F;43;-10669,94104;21425,88208;21649,85189
JTT;+G+F;43;-10675,20883;21436,41766;21660,38747
RtREV;+G+F;43;-10680,12314;21446,24628;21670,21609
Dayhoff;+G+F;43;-10693,20574;21472,41148;21696,38129
DCMut;+G+F;43;-10693,34312;21472,68624;21696,65605
Blosum62;+G+F;43;-10706,58801;21499,17602;21723,14583
JTT;+G;24;-10738,85717;21525,71434;21650,72074
CpREV;+G;24;-10754,02487;21556,04974;21681,05614
MtREV;+G+F;43;-10735,83402;21557,66804;21781,63785
MtZoa;+G+F;43;-10738,02757;21562,05514;21786,02495
Flu;+G+F;43;-10743,99117;21573,98234;21797,95215
LG;+G;24;-10788,45201;21624,90402;21749,91042
LG;+G+I;25;-10787,55677;21625,11354;21755,32854
HIVb;+G+F;43;-10772,00241;21630,00482;21853,97463
Blosum62;+G;24;-10806,13274;21660,26548;21785,27188
MtArt;+G+F;43;-10827,69787;21741,39574;21965,36555
AB;+G+F;43;-10828,63078;21743,26156;21967,23137
MtMam;+G+F;43;-10863,68423;21813,36846;22037,33827
HIVw;+G+F;43;-10934,42543;21954,85086;22178,82067
