Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;75;-20630,22132;41410,44264;41756,04268
LG;+G+I+F;76;-20629,65365;41411,30730;41761,51534
WAG;+G+F;75;-20636,91720;41423,83440;41769,43444
VT;+G+F;75;-20639,84946;41429,69892;41775,29896
LG;+G;56;-20697,31824;41506,63648;41764,68451
LG;+G+I;57;-20696,89179;41507,78358;41770,43961
CpREV;+G+F;75;-20693,49252;41536,98504;41882,58508
RtREV;+G+F;75;-20712,00932;41574,01864;41919,61868
JTT;+G+F;75;-20713,09001;41576,18002;41921,78006
Blosum62;+G+F;75;-20722,86867;41595,73734;41941,33738
Blosum62;+G;56;-20798,90257;41709,80514;41967,85317
CpREV;+G;56;-20804,18350;41720,36700;41978,41503
Dayhoff;+G+F;75;-20804,14973;41758,29946;42103,89950
DCMut;+G+F;75;-20804,23146;41758,46292;42104,06296
MtZoa;+G+F;75;-20853,91090;41857,82180;42203,42184
MtREV;+G+F;75;-20919,80005;41989,60010;42335,20014
Flu;+G+F;75;-21013,38763;42176,77526;42522,37530
HIVb;+G+F;75;-21074,85035;42299,70070;42645,30074
MtArt;+G+F;75;-21105,16070;42360,32140;42705,92144
MtZoa;+G;56;-21136,75459;42385,50918;42643,55721
AB;+G+F;75;-21133,32403;42416,64806;42762,24810
MtMam;+G+F;75;-21276,65300;42703,30600;43048,90604
HIVw;+G+F;75;-21479,02894;43108,05788;43453,65792
