Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;29;-6232,37889;12522,75778;12663,10259
JTT;+G+I+F;30;-6232,38121;12524,76242;12669,94671
LG;+G+F;29;-6247,68581;12553,37162;12693,71643
WAG;+G+F;29;-6250,48099;12558,96198;12699,30679
JTT;+G;10;-6270,33499;12560,66998;12609,06474
JTT;+G+I;11;-6270,33790;12562,67580;12615,91004
VT;+G+F;29;-6253,12313;12564,24626;12704,59107
HIVb;+G+F;29;-6263,83656;12585,67312;12726,01793
Dayhoff;+G+F;29;-6268,33798;12594,67596;12735,02077
DCMut;+G+F;29;-6268,76926;12595,53852;12735,88333
Flu;+G+F;29;-6269,31819;12596,63638;12736,98119
VT;+G;10;-6290,64840;12601,29680;12649,69156
LG;+G;10;-6291,10376;12602,20752;12650,60228
LG;+G+I;11;-6291,10663;12604,21326;12657,44750
RtREV;+G+F;29;-6276,37236;12610,74472;12751,08953
CpREV;+G+F;29;-6277,26834;12612,53668;12752,88149
WAG;+G;10;-6299,29192;12618,58384;12666,97860
CpREV;+G;10;-6306,42427;12632,84854;12681,24330
Blosum62;+G+F;29;-6293,36159;12644,72318;12785,06799
AB;+G+F;29;-6301,10151;12660,20302;12800,54783
MtZoa;+G+F;29;-6304,55861;12667,11722;12807,46203
MtREV;+G+F;29;-6306,20666;12670,41332;12810,75813
HIVw;+G+F;29;-6309,93439;12677,86878;12818,21359
Blosum62;+G;10;-6330,33375;12680,66750;12729,06226
HIVb;+G;10;-6334,10510;12688,21020;12736,60496
MtMam;+G+F;29;-6325,76323;12709,52646;12849,87127
RtREV;+G;10;-6355,82716;12731,65432;12780,04908
Dayhoff;+G;10;-6365,92430;12751,84860;12800,24336
Flu;+G;10;-6365,75099;12751,50198;12799,89674
DCMut;+G;10;-6366,28773;12752,57546;12800,97022
MtArt;+G+F;29;-6366,19893;12790,39786;12930,74267
MtZoa;+G;10;-6419,84550;12859,69100;12908,08576
AB;+G;10;-6462,14326;12944,28652;12992,68128
MtREV;+G;10;-6472,01384;12964,02768;13012,42244
MtMam;+G;10;-6498,01613;13016,03226;13064,42702
HIVw;+G;10;-6509,74407;13039,48814;13087,88290
MtArt;+G;10;-6535,43761;13090,87522;13139,26998
