Model;Decoration;K;Llk;AIC;BIC
JTT;+G;62;-13129,05453;26382,10906;26645,24740
JTT;+G+I;63;-13128,80288;26383,60576;26650,98827
JTT;+G+F;81;-13111,47935;26384,95870;26728,73621
JTT;+G+I+F;82;-13111,39877;26386,79754;26734,81922
LG;+G+F;81;-13119,14373;26400,28746;26744,06497
LG;+G;62;-13155,25065;26434,50130;26697,63964
LG;+G+I;63;-13155,06920;26436,13840;26703,52091
WAG;+G+F;81;-13149,28468;26460,56936;26804,34687
VT;+G+F;81;-13166,82551;26495,65102;26839,42853
CpREV;+G+F;81;-13186,19041;26534,38082;26878,15833
CpREV;+G;62;-13214,81285;26553,62570;26816,76404
Dayhoff;+G+F;81;-13211,78844;26585,57688;26929,35439
DCMut;+G+F;81;-13212,52822;26587,05644;26930,83395
RtREV;+G+F;81;-13221,68567;26605,37134;26949,14885
HIVb;+G+F;81;-13255,39682;26672,79364;27016,57115
MtZoa;+G+F;81;-13260,43363;26682,86726;27026,64477
Blosum62;+G+F;81;-13271,36047;26704,72094;27048,49845
Blosum62;+G;62;-13295,15323;26714,30646;26977,44480
MtREV;+G+F;81;-13279,67453;26721,34906;27065,12657
Flu;+G+F;81;-13306,67750;26775,35500;27119,13251
MtZoa;+G;62;-13396,85232;26917,70464;27180,84298
AB;+G+F;81;-13417,95042;26997,90084;27341,67835
MtArt;+G+F;81;-13439,50824;27041,01648;27384,79399
MtMam;+G+F;81;-13439,68184;27041,36368;27385,14119
HIVw;+G+F;81;-13539,84631;27241,69262;27585,47013
