Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;81;-22973,19872;46108,39744;46488,35566
JTT;+G+I+F;82;-22972,86534;46109,73068;46494,37974
JTT;+G;62;-23032,80414;46189,60828;46480,44050
JTT;+G+I;63;-23032,73876;46191,47752;46487,00058
WAG;+G+F;81;-23017,62622;46197,25244;46577,21066
LG;+G+F;81;-23032,18666;46226,37332;46606,33154
VT;+G+F;81;-23041,83181;46245,66362;46625,62184
CpREV;+G+F;81;-23070,00503;46302,01006;46681,96828
LG;+G;62;-23103,51721;46331,03442;46621,86664
LG;+G+I;63;-23103,51317;46333,02634;46628,54940
Dayhoff;+G+F;81;-23104,06545;46370,13090;46750,08912
DCMut;+G+F;81;-23104,88849;46371,77698;46751,73520
CpREV;+G;62;-23187,90193;46499,80386;46790,63608
RtREV;+G+F;81;-23209,62484;46581,24968;46961,20790
Blosum62;+G+F;81;-23217,00189;46596,00378;46975,96200
MtREV;+G+F;81;-23247,57826;46657,15652;47037,11474
MtZoa;+G+F;81;-23263,34984;46688,69968;47068,65790
Flu;+G+F;81;-23264,20833;46690,41666;47070,37488
Blosum62;+G;62;-23292,36375;46708,72750;46999,55972
HIVb;+G+F;81;-23292,66151;46747,32302;47127,28124
AB;+G+F;81;-23507,93414;47177,86828;47557,82650
MtArt;+G+F;81;-23558,01552;47278,03104;47657,98926
MtMam;+G+F;81;-23581,96834;47325,93668;47705,89490
MtZoa;+G;62;-23625,06306;47374,12612;47664,95834
HIVw;+G+F;81;-23719,04804;47600,09608;47980,05430
