Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;56;-16866,20645;33844,41290;34125,09135
JTT;+G+F;55;-16869,43818;33848,87636;34124,54270
VT;+G+I+F;56;-16919,41507;33950,83014;34231,50859
JTT;+G+I;37;-16940,96111;33955,92222;34141,37048
JTT;+G;36;-16943,61889;33959,23778;34139,67393
LG;+G+I+F;56;-16940,51266;33993,02532;34273,70377
VT;+G+I;37;-16961,33814;33996,67628;34182,12454
WAG;+G+I+F;56;-16942,36553;33996,73106;34277,40951
LG;+G+I;37;-16991,87148;34057,74296;34243,19122
LG;+G;36;-16994,30369;34060,60738;34241,04353
Dayhoff;+G+I+F;56;-16989,72275;34091,44550;34372,12395
DCMut;+G+I+F;56;-16989,53953;34091,07906;34371,75751
RtREV;+G+I+F;56;-16997,48246;34106,96492;34387,64337
Blosum62;+G+I+F;56;-17046,08243;34204,16486;34484,84331
CpREV;+G+I+F;56;-17055,39618;34222,79236;34503,47081
HIVb;+G+I+F;56;-17056,63466;34225,26932;34505,94777
Flu;+G+I+F;56;-17069,10730;34250,21460;34530,89305
AB;+G+I+F;56;-17118,61843;34349,23686;34629,91531
MtREV;+G+I+F;56;-17122,56746;34357,13492;34637,81337
MtZoa;+G+I+F;56;-17164,84958;34441,69916;34722,37761
HIVw;+G+I+F;56;-17266,41483;34644,82966;34925,50811
MtMam;+G+I+F;56;-17311,51091;34735,02182;35015,70027
MtArt;+G+I+F;56;-17334,58040;34781,16080;35061,83925
