Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;31;-4741,30306;9544,60612;9678,04403
LG;+G+I+F;32;-4741,30469;9546,60938;9684,35174
CpREV;+G+F;31;-4745,97279;9553,94558;9687,38349
WAG;+G+F;31;-4747,97843;9557,95686;9691,39477
LG;+G;12;-4768,38904;9560,77808;9612,43146
JTT;+G+F;31;-4749,74105;9561,48210;9694,92001
LG;+G+I;13;-4768,38994;9562,77988;9618,73771
VT;+G+F;31;-4759,73799;9581,47598;9714,91389
Dayhoff;+G+F;31;-4760,03411;9582,06822;9715,50613
DCMut;+G+F;31;-4760,18761;9582,37522;9715,81313
CpREV;+G;12;-4779,88276;9583,76552;9635,41890
JTT;+G;12;-4783,64321;9591,28642;9642,93980
RtREV;+G+F;31;-4765,99299;9593,98598;9727,42389
VT;+G;12;-4791,49303;9606,98606;9658,63944
WAG;+G;12;-4792,52345;9609,04690;9660,70028
Blosum62;+G;12;-4799,16193;9622,32386;9673,97724
Blosum62;+G+F;31;-4780,93436;9623,86872;9757,30663
MtZoa;+G+F;31;-4781,11761;9624,23522;9757,67313
Flu;+G+F;31;-4784,27821;9630,55642;9763,99433
HIVb;+G+F;31;-4791,82927;9645,65854;9779,09645
MtREV;+G+F;31;-4793,83738;9649,67476;9783,11267
AB;+G+F;31;-4815,66375;9693,32750;9826,76541
Dayhoff;+G;12;-4842,30857;9708,61714;9760,27052
DCMut;+G;12;-4842,42307;9708,84614;9760,49952
Flu;+G;12;-4849,36074;9722,72148;9774,37486
MtArt;+G+F;31;-4830,46748;9722,93496;9856,37287
MtMam;+G+F;31;-4831,13194;9724,26388;9857,70179
MtZoa;+G;12;-4858,89098;9741,78196;9793,43534
RtREV;+G;12;-4858,97046;9741,94092;9793,59430
HIVb;+G;12;-4860,21295;9744,42590;9796,07928
HIVw;+G+F;31;-4847,21586;9756,43172;9889,86963
AB;+G;12;-4934,63495;9893,26990;9944,92328
MtREV;+G;12;-4934,91519;9893,83038;9945,48376
MtArt;+G;12;-4941,10735;9906,21470;9957,86808
MtMam;+G;12;-4966,42032;9956,84064;10008,49402
HIVw;+G;12;-4994,68456;10013,36912;10065,02250
