Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;31;-9392,67833;18847,35666;19005,25220
LG;+G+I+F;32;-9392,67605;18849,35210;19012,34104
RtREV;+G+F;31;-9408,38257;18878,76514;19036,66068
VT;+G+F;31;-9410,11385;18882,22770;19040,12324
LG;+G;12;-9435,10395;18894,20790;18955,32875
WAG;+G+F;31;-9416,33579;18894,67158;19052,56712
LG;+G+I;13;-9434,96235;18895,92470;18962,13896
Blosum62;+G+F;31;-9426,16557;18914,33114;19072,22668
MtZoa;+G+F;31;-9426,58600;18915,17200;19073,06754
VT;+G;12;-9447,83583;18919,67166;18980,79251
CpREV;+G+F;31;-9432,63184;18927,26368;19085,15922
WAG;+G;12;-9453,68566;18931,37132;18992,49217
JTT;+G;12;-9464,55686;18953,11372;19014,23457
JTT;+G+F;31;-9448,94555;18959,89110;19117,78664
Dayhoff;+G+F;31;-9453,38513;18968,77026;19126,66580
DCMut;+G+F;31;-9453,56388;18969,12776;19127,02330
Blosum62;+G;12;-9481,40100;18986,80200;19047,92285
MtREV;+G+F;31;-9462,59541;18987,19082;19145,08636
MtArt;+G+F;31;-9476,70366;19015,40732;19173,30286
CpREV;+G;12;-9501,92753;19027,85506;19088,97591
RtREV;+G;12;-9507,16042;19038,32084;19099,44169
Dayhoff;+G;12;-9525,66519;19075,33038;19136,45123
DCMut;+G;12;-9525,80437;19075,60874;19136,72959
HIVb;+G+F;31;-9535,89207;19133,78414;19291,67968
Flu;+G+F;31;-9539,17370;19140,34740;19298,24294
MtMam;+G+F;31;-9540,13360;19142,26720;19300,16274
AB;+G+F;31;-9599,10587;19260,21174;19418,10728
HIVb;+G;12;-9626,26802;19276,53604;19337,65689
Flu;+G;12;-9692,58829;19409,17658;19470,29743
HIVw;+G+F;31;-9674,94761;19411,89522;19569,79076
MtZoa;+G;12;-9725,85042;19475,70084;19536,82169
MtREV;+G;12;-9849,20462;19722,40924;19783,53009
AB;+G;12;-9853,29802;19730,59604;19791,71689
MtArt;+G;12;-9873,62032;19771,24064;19832,36149
MtMam;+G;12;-9942,31357;19908,62714;19969,74799
HIVw;+G;12;-9972,31133;19968,62266;20029,74351
