Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;93;-28754,11445;57694,22890;58140,64471
LG;+G+I+F;94;-28753,98196;57695,96392;58147,17990
LG;+G;74;-28792,73514;57733,47028;58088,68286
LG;+G+I;75;-28792,19367;57734,38734;58094,40009
VT;+G+F;93;-28817,69800;57821,39600;58267,81181
WAG;+G+F;93;-28820,55551;57827,11102;58273,52683
JTT;+G+F;93;-28906,47487;57998,94974;58445,36555
RtREV;+G+F;93;-28923,73316;58033,46632;58479,88213
CpREV;+G+F;93;-28938,14552;58062,29104;58508,70685
Blosum62;+G+F;93;-28953,16791;58092,33582;58538,75163
Blosum62;+G;74;-28998,05304;58144,10608;58499,31866
Dayhoff;+G+F;93;-28996,91254;58179,82508;58626,24089
DCMut;+G+F;93;-28997,36524;58180,73048;58627,14629
MtZoa;+G+F;93;-29000,02051;58186,04102;58632,45683
CpREV;+G;74;-29024,26291;58196,52582;58551,73840
MtREV;+G+F;93;-29184,81019;58555,62038;59002,03619
MtArt;+G+F;93;-29336,62347;58859,24694;59305,66275
MtZoa;+G;74;-29358,76279;58865,52558;59220,73816
Flu;+G+F;93;-29356,16937;58898,33874;59344,75455
HIVb;+G+F;93;-29455,84181;59097,68362;59544,09943
AB;+G+F;93;-29641,64822;59469,29644;59915,71225
MtMam;+G+F;93;-29776,63265;59739,26530;60185,68111
HIVw;+G+F;93;-30100,16114;60386,32228;60832,73809
