Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;78;-27560,95416;55277,90832;55640,73092
LG;+G+F;77;-27562,21524;55278,43048;55636,60151
WAG;+G+I+F;78;-27582,57173;55321,14346;55683,96606
VT;+G+I+F;78;-27583,86253;55323,72506;55686,54766
JTT;+G+I+F;78;-27617,34717;55390,69434;55753,51694
LG;+G+I;59;-27691,39807;55500,79614;55775,23888
LG;+G;58;-27694,51276;55505,02552;55774,81668
CpREV;+G+I+F;78;-27697,01222;55550,02444;55912,84704
Blosum62;+G+I+F;78;-27705,43429;55566,86858;55929,69118
RtREV;+G+I+F;78;-27705,38107;55566,76214;55929,58474
Dayhoff;+G+I+F;78;-27709,54524;55575,09048;55937,91308
DCMut;+G+I+F;78;-27710,07068;55576,14136;55938,96396
MtZoa;+G+I+F;78;-27819,88950;55795,77900;56158,60160
Blosum62;+G+I;59;-27847,75941;55813,51882;56087,96156
CpREV;+G+I;59;-27862,88830;55843,77660;56118,21934
MtREV;+G+I+F;78;-27879,34563;55914,69126;56277,51386
Flu;+G+I+F;78;-27924,64225;56005,28450;56368,10710
HIVb;+G+I+F;78;-27976,84381;56109,68762;56472,51022
MtArt;+G+I+F;78;-28098,52995;56353,05990;56715,88250
MtZoa;+G+I;59;-28125,46147;56368,92294;56643,36568
AB;+G+I+F;78;-28188,48133;56532,96266;56895,78526
MtMam;+G+I+F;78;-28315,28193;56786,56386;57149,38646
HIVw;+G+I+F;78;-28517,91158;57191,82316;57554,64576
