Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;39;-7620,06962;15318,13924;15494,09730
LG;+G+I+F;40;-7620,06972;15320,13944;15500,60925
WAG;+G+F;39;-7637,79258;15353,58516;15529,54322
JTT;+G+F;39;-7641,23504;15360,47008;15536,42814
VT;+G+F;39;-7643,74012;15365,48024;15541,43830
RtREV;+G+F;39;-7654,62797;15387,25594;15563,21400
CpREV;+G+F;39;-7665,94512;15409,89024;15585,84830
LG;+G;20;-7685,84617;15411,69234;15501,92724
JTT;+G;20;-7686,20413;15412,40826;15502,64316
LG;+G+I;21;-7685,84609;15413,69218;15508,43883
Flu;+G+F;39;-7670,67502;15419,35004;15595,30810
Dayhoff;+G+F;39;-7671,97211;15421,94422;15597,90228
WAG;+G;20;-7690,92171;15421,84342;15512,07832
DCMut;+G+F;39;-7672,41039;15422,82078;15598,77884
Blosum62;+G+F;39;-7683,21750;15444,43500;15620,39306
MtZoa;+G+F;39;-7689,97444;15457,94888;15633,90694
CpREV;+G;20;-7726,89693;15493,79386;15584,02876
HIVb;+G+F;39;-7723,38860;15524,77720;15700,73526
MtREV;+G+F;39;-7727,10546;15532,21092;15708,16898
AB;+G+F;39;-7753,41444;15584,82888;15760,78694
MtArt;+G+F;39;-7765,67535;15609,35070;15785,30876
MtMam;+G+F;39;-7795,96389;15669,92778;15845,88584
HIVw;+G+F;39;-7835,58667;15749,17334;15925,13140
