Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;31;-8909,39602;17880,79204;18033,14869
JTT;+G+I+F;32;-8909,39778;17882,79556;18040,06694
JTT;+G;12;-8942,22920;17908,45840;17967,43517
Dayhoff;+G+F;31;-8924,38547;17910,77094;18063,12759
JTT;+G+I;13;-8942,23084;17910,46168;17974,35318
DCMut;+G+F;31;-8925,06831;17912,13662;18064,49327
LG;+G+F;31;-8926,78289;17915,56578;18067,92243
WAG;+G+F;31;-8933,33326;17928,66652;18081,02317
Flu;+G+F;31;-8942,09677;17946,19354;18098,55019
VT;+G+F;31;-8948,73764;17959,47528;18111,83193
CpREV;+G+F;31;-8956,31791;17974,63582;18126,99247
LG;+G;12;-8975,40023;17974,80046;18033,77723
LG;+G+I;13;-8975,40352;17976,80704;18040,69854
VT;+G;12;-8981,86170;17987,72340;18046,70017
HIVb;+G+F;31;-8965,88944;17993,77888;18146,13553
RtREV;+G+F;31;-8966,60373;17995,20746;18147,56411
CpREV;+G;12;-8994,76058;18013,52116;18072,49793
MtZoa;+G+F;31;-8994,88592;18051,77184;18204,12849
Blosum62;+G+F;31;-9002,75096;18067,50192;18219,85857
MtREV;+G+F;31;-9017,82986;18097,65972;18250,01637
Blosum62;+G;12;-9042,82201;18109,64402;18168,62079
AB;+G+F;31;-9043,23267;18148,46534;18300,82199
HIVw;+G+F;31;-9044,96060;18151,92120;18304,27785
MtMam;+G+F;31;-9082,43416;18226,86832;18379,22497
MtArt;+G+F;31;-9084,82691;18231,65382;18384,01047
