Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;200;-62474,42678;125348,85356;126397,41314
JTT;+G+F;199;-62478,41953;125354,83906;126398,15584
WAG;+G+I+F;200;-62519,28107;125438,56214;126487,12172
VT;+G+I+F;200;-62528,38261;125456,76522;126505,32480
LG;+G+I+F;200;-62553,62794;125507,25588;126555,81546
CpREV;+G+I+F;200;-62691,25388;125782,50776;126831,06734
Dayhoff;+G+I+F;200;-62837,38963;126074,77926;127123,33884
DCMut;+G+I+F;200;-62837,07850;126074,15700;127122,71658
Blosum62;+G+I+F;200;-62853,96432;126107,92864;127156,48822
RtREV;+G+I+F;200;-62880,71905;126161,43810;127209,99768
JTT;+G+I;181;-62979,33162;126320,66324;127269,60966
JTT;+G;180;-62983,33400;126326,66800;127270,37162
Flu;+G+I+F;200;-63047,82809;126495,65618;127544,21576
WAG;+G+I;181;-63074,30809;126510,61618;127459,56260
HIVb;+G+I+F;200;-63127,55776;126655,11552;127703,67510
MtREV;+G+I+F;200;-63227,59550;126855,19100;127903,75058
MtZoa;+G+I+F;200;-63231,27771;126862,55542;127911,11500
LG;+G+I;181;-63287,77474;126937,54948;127886,49590
LG;+G;180;-63290,53169;126941,06338;127884,76700
Blosum62;+G+I;181;-63453,38682;127268,77364;128217,72006
MtArt;+G+I+F;200;-64016,30984;128432,61968;129481,17926
MtMam;+G+I+F;200;-64133,40628;128666,81256;129715,37214
HIVw;+G+I+F;200;-64258,29146;128916,58292;129965,14250
AB;+G+I+F;200;-64309,43843;129018,87686;130067,43644
