Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;27;-2807,30945;5668,61890;5784,69052
JTT;+G+I+F;28;-2807,29563;5670,59126;5790,96183
JTT;+G;8;-2833,82975;5683,65950;5718,05109
JTT;+G+I;9;-2833,82209;5685,64418;5724,33472
HIVb;+G+F;27;-2819,70825;5693,41650;5809,48812
CpREV;+G;8;-2839,77029;5695,54058;5729,93217
CpREV;+G+F;27;-2822,67473;5699,34946;5815,42108
MtREV;+G+F;27;-2825,34077;5704,68154;5820,75316
MtZoa;+G+F;27;-2827,19065;5708,38130;5824,45292
Dayhoff;+G+F;27;-2827,83191;5709,66382;5825,73544
DCMut;+G+F;27;-2828,01834;5710,03668;5826,10830
LG;+G;8;-2847,48014;5710,96028;5745,35187
LG;+G+F;27;-2828,92376;5711,84752;5827,91914
LG;+G+I;9;-2847,40875;5712,81750;5751,50804
WAG;+G+F;27;-2829,45998;5712,91996;5828,99158
VT;+G+F;27;-2829,90576;5713,81152;5829,88314
VT;+G;8;-2849,48509;5714,97018;5749,36177
HIVb;+G;8;-2854,31530;5724,63060;5759,02219
MtMam;+G+F;27;-2836,21178;5726,42356;5842,49518
Flu;+G+F;27;-2838,82876;5731,65752;5847,72914
WAG;+G;8;-2858,20219;5732,40438;5766,79597
RtREV;+G+F;27;-2841,96034;5737,92068;5853,99230
HIVw;+G+F;27;-2844,66462;5743,32924;5859,40086
MtArt;+G+F;27;-2846,73913;5747,47826;5863,54988
Blosum62;+G;8;-2868,20860;5752,41720;5786,80879
AB;+G+F;27;-2853,11758;5760,23516;5876,30678
Blosum62;+G+F;27;-2853,29060;5760,58120;5876,65282
Flu;+G;8;-2878,71027;5773,42054;5807,81213
RtREV;+G;8;-2880,68031;5777,36062;5811,75221
Dayhoff;+G;8;-2882,41508;5780,83016;5815,22175
DCMut;+G;8;-2882,58554;5781,17108;5815,56267
MtZoa;+G;8;-2892,51115;5801,02230;5835,41389
MtREV;+G;8;-2906,90126;5829,80252;5864,19411
MtMam;+G;8;-2918,96930;5853,93860;5888,33019
HIVw;+G;8;-2923,53977;5863,07954;5897,47113
AB;+G;8;-2929,26812;5874,53624;5908,92783
MtArt;+G;8;-2929,59983;5875,19966;5909,59125
