Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;53;-13965,25522;28036,51044;28287,63252
LG;+G+I+F;54;-13964,53322;28037,06644;28292,92667
LG;+G;34;-13989,12506;28046,25012;28207,34730
LG;+G+I;35;-13988,20263;28046,40526;28212,24059
WAG;+G+F;53;-13978,07894;28062,15788;28313,27996
CpREV;+G+F;53;-13989,80407;28085,60814;28336,73022
VT;+G+F;53;-13991,23484;28088,46968;28339,59176
WAG;+G;34;-14011,18732;28090,37464;28251,47182
JTT;+G+F;53;-14004,21461;28114,42922;28365,55130
RtREV;+G+F;53;-14020,02498;28146,04996;28397,17204
Dayhoff;+G+F;53;-14027,13031;28160,26062;28411,38270
DCMut;+G+F;53;-14027,38089;28160,76178;28411,88386
CpREV;+G;34;-14055,05462;28178,10924;28339,20642
Blosum62;+G+F;53;-14056,18070;28218,36140;28469,48348
Blosum62;+G;34;-14083,70421;28235,40842;28396,50560
MtZoa;+G+F;53;-14067,16586;28240,33172;28491,45380
MtREV;+G+F;53;-14108,03126;28322,06252;28573,18460
Flu;+G+F;53;-14158,10755;28422,21510;28673,33718
MtArt;+G+F;53;-14192,80824;28491,61648;28742,73856
HIVb;+G+F;53;-14226,39554;28558,79108;28809,91316
AB;+G+F;53;-14284,28958;28674,57916;28925,70124
MtMam;+G+F;53;-14331,41907;28768,83814;29019,96022
HIVw;+G+F;53;-14474,65746;29055,31492;29306,43700
