Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;59;-9497,69174;19113,38348;19375,86795
LG;+G+I+F;60;-9497,69332;19115,38664;19382,32000
WAG;+G+F;59;-9506,32493;19130,64986;19393,13433
JTT;+G+F;59;-9509,42908;19136,85816;19399,34263
VT;+G+F;59;-9519,57128;19157,14256;19419,62703
JTT;+G;40;-9545,94103;19171,88206;19349,83763
RtREV;+G+F;59;-9534,08866;19186,17732;19448,66179
CpREV;+G+F;59;-9539,03350;19196,06700;19458,55147
LG;+G;40;-9564,66464;19209,32928;19387,28485
LG;+G+I;41;-9564,50682;19211,01364;19393,41810
Dayhoff;+G+F;59;-9554,43883;19226,87766;19489,36213
DCMut;+G+F;59;-9554,87784;19227,75568;19490,24015
Blosum62;+G+F;59;-9572,29357;19262,58714;19525,07161
CpREV;+G;40;-9604,73371;19289,46742;19467,42299
MtZoa;+G+F;59;-9594,47517;19306,95034;19569,43481
MtREV;+G+F;59;-9615,41754;19348,83508;19611,31955
Blosum62;+G;40;-9635,11241;19350,22482;19528,18039
HIVb;+G+F;59;-9626,82960;19371,65920;19634,14367
Flu;+G+F;59;-9627,49632;19372,99264;19635,47711
AB;+G+F;59;-9680,53448;19479,06896;19741,55343
MtArt;+G+F;59;-9703,08085;19524,16170;19786,64617
MtMam;+G+F;59;-9735,33435;19588,66870;19851,15317
HIVw;+G+F;59;-9785,41940;19688,83880;19951,32327
