Model;Decoration;K;Llk;AIC;BIC
JTT;+G;32;-11348,03996;22760,07992;22912,33894
JTT;+G+I;33;-11348,04325;22762,08650;22919,10361
WAG;+G+F;51;-11340,80487;22783,60974;23026,27255
WAG;+G;32;-11365,32613;22794,65226;22946,91128
VT;+G;32;-11371,28024;22806,56048;22958,81950
JTT;+G+F;51;-11354,07380;22810,14760;23052,81041
JTT;+G+I+F;52;-11354,07901;22812,15802;23059,57893
LG;+G;32;-11374,75557;22813,51114;22965,77016
LG;+G+I;33;-11374,76093;22815,52186;22972,53897
CpREV;+G+F;51;-11361,34052;22824,68104;23067,34385
LG;+G+F;51;-11371,51787;22845,03574;23087,69855
VT;+G+F;51;-11372,08977;22846,17954;23088,84235
CpREV;+G;32;-11393,39382;22850,78764;23003,04666
Dayhoff;+G+F;51;-11406,28378;22914,56756;23157,23037
DCMut;+G+F;51;-11406,59681;22915,19362;23157,85643
RtREV;+G+F;51;-11435,29978;22972,59956;23215,26237
Blosum62;+G+F;51;-11439,94690;22981,89380;23224,55661
DCMut;+G;32;-11459,07073;22982,14146;23134,40048
Blosum62;+G;32;-11460,23503;22984,47006;23136,72908
Flu;+G+F;51;-11445,04939;22992,09878;23234,76159
MtREV;+G+F;51;-11482,06264;23066,12528;23308,78809
MtZoa;+G+F;51;-11486,86238;23075,72476;23318,38757
HIVb;+G+F;51;-11530,02815;23162,05630;23404,71911
AB;+G+F;51;-11562,32854;23226,65708;23469,31989
MtArt;+G+F;51;-11620,08345;23342,16690;23584,82971
MtMam;+G+F;51;-11650,25884;23402,51768;23645,18049
HIVw;+G+F;51;-11657,38713;23416,77426;23659,43707
MtZoa;+G;32;-11718,34519;23500,69038;23652,94940
MtREV;+G;32;-11776,06815;23616,13630;23768,39532
MtArt;+G;32;-11954,40256;23972,80512;24125,06414
