Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;281;-111170,80902;222903,61804;224511,93909
LG;+G+I+F;282;-111170,90262;222905,80524;224519,84985
VT;+G+F;281;-111503,59314;223569,18628;225177,50733
WAG;+G+F;281;-111550,14499;223662,28998;225270,61103
JTT;+G+F;281;-111646,11400;223854,22800;225462,54905
CpREV;+G+F;281;-111738,96647;224039,93294;225648,25399
LG;+G;262;-111772,59414;224069,18828;225568,76164
LG;+G+I;263;-111772,68762;224071,37524;225576,67217
RtREV;+G+F;281;-111837,61625;224237,23250;225845,55355
Blosum62;+G+F;281;-112079,04565;224720,09130;226328,41235
MtZoa;+G+F;281;-112159,04038;224880,08076;226488,40181
CpREV;+G;262;-112460,75412;225445,50824;226945,08160
Dayhoff;+G+F;281;-112500,68896;225563,37792;227171,69897
DCMut;+G+F;281;-112501,39872;225564,79744;227173,11849
Blosum62;+G;262;-112548,00537;225620,01074;227119,58410
MtREV;+G+F;281;-112571,42171;225704,84342;227313,16447
HIVb;+G+F;281;-113294,04444;227150,08888;228758,40993
Flu;+G+F;281;-113339,52804;227241,05608;228849,37713
MtArt;+G+F;281;-113407,49904;227376,99808;228985,31913
MtZoa;+G;262;-113450,86705;227425,73410;228925,30746
AB;+G+F;281;-114085,23483;228732,46966;230340,79071
MtMam;+G+F;281;-114367,61190;229297,22380;230905,54485
HIVw;+G+F;281;-116042,66009;232647,32018;234255,64123
