Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;81;-23418,86778;46999,73556;47362,74330
LG;+G+I+F;82;-23418,74589;47001,49178;47368,98110
LG;+G;62;-23492,45012;47108,90024;47386,75802
LG;+G+I;63;-23491,06002;47108,12004;47390,45939
JTT;+G+I+F;82;-23486,00147;47136,00294;47503,49226
WAG;+G+I+F;82;-23493,79398;47151,58796;47519,07728
VT;+G+I+F;82;-23516,45960;47196,91920;47564,40852
CpREV;+G+I+F;82;-23530,18484;47224,36968;47591,85900
MtZoa;+G+I+F;82;-23571,14930;47306,29860;47673,78792
CpREV;+G+I;63;-23613,83904;47353,67808;47636,01743
RtREV;+G+I+F;82;-23607,48519;47378,97038;47746,45970
Dayhoff;+G+I+F;82;-23650,20204;47464,40408;47831,89340
DCMut;+G+I+F;82;-23651,61921;47467,23842;47834,72774
Blosum62;+G+I+F;82;-23660,09016;47484,18032;47851,66964
Blosum62;+G+I;63;-23709,21692;47544,43384;47826,77319
MtREV;+G+I+F;82;-23719,87179;47603,74358;47971,23290
MtZoa;+G+I;63;-23803,21760;47732,43520;48014,77455
Flu;+G+I+F;82;-23785,55633;47735,11266;48102,60198
HIVb;+G+I+F;82;-23798,83109;47761,66218;48129,15150
MtArt;+G+I+F;82;-23835,00542;47834,01084;48201,50016
MtMam;+G+I+F;82;-24032,84631;48229,69262;48597,18194
AB;+G+I+F;82;-24061,82893;48287,65786;48655,14718
HIVw;+G+I+F;82;-24309,90508;48783,81016;49151,29948
