Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;29;-3805,88731;7669,77462;7794,33733
JTT;+G+I+F;30;-3805,88976;7671,77952;7800,63750
LG;+G+F;29;-3808,61037;7675,22074;7799,78345
WAG;+G+F;29;-3810,05161;7678,10322;7802,66593
CpREV;+G+F;29;-3812,25898;7682,51796;7807,08067
VT;+G+F;29;-3812,66527;7683,33054;7807,89325
Dayhoff;+G+F;29;-3819,66341;7697,32682;7821,88953
DCMut;+G+F;29;-3819,96892;7697,93784;7822,50055
Flu;+G+F;29;-3828,98259;7715,96518;7840,52789
RtREV;+G+F;29;-3828,61167;7715,22334;7839,78605
Blosum62;+G+F;29;-3830,99486;7719,98972;7844,55243
MtREV;+G+F;29;-3834,53641;7727,07282;7851,63553
MtZoa;+G+F;29;-3837,22730;7732,45460;7857,01731
JTT;+G;10;-3862,18150;7744,36300;7787,31566
JTT;+G+I;11;-3862,18417;7746,36834;7793,61626
CpREV;+G;10;-3868,93264;7757,86528;7800,81794
HIVb;+G+F;29;-3854,17726;7766,35452;7890,91723
VT;+G;10;-3873,63024;7767,26048;7810,21314
WAG;+G;10;-3874,44980;7768,89960;7811,85226
LG;+G;10;-3875,22472;7770,44944;7813,40210
LG;+G+I;11;-3875,22779;7772,45558;7819,70350
MtMam;+G+F;29;-3870,95087;7799,90174;7924,46445
Blosum62;+G;10;-3890,77608;7801,55216;7844,50482
MtArt;+G+F;29;-3873,17835;7804,35670;7928,91941
Dayhoff;+G;10;-3897,69996;7815,39992;7858,35258
DCMut;+G;10;-3897,91163;7815,82326;7858,77592
AB;+G+F;29;-3883,81983;7825,63966;7950,20237
HIVw;+G+F;29;-3893,86498;7845,72996;7970,29267
RtREV;+G;10;-3931,49871;7882,99742;7925,95008
MtZoa;+G;10;-3935,77593;7891,55186;7934,50452
HIVb;+G;10;-3943,75930;7907,51860;7950,47126
Flu;+G;10;-3972,33648;7964,67296;8007,62562
MtREV;+G;10;-3982,14336;7984,28672;8027,23938
AB;+G;10;-4011,48960;8042,97920;8085,93186
MtMam;+G;10;-4023,51254;8067,02508;8109,97774
MtArt;+G;10;-4026,24389;8072,48778;8115,44044
HIVw;+G;10;-4103,08374;8226,16748;8269,12014
