Model;Decoration;K;Llk;AIC;BIC
JTT;+G;12;-3451,83635;6927,67270;6978,60270
JTT;+G+I;13;-3451,83776;6929,67552;6984,84968
VT;+G;12;-3456,62396;6937,24792;6988,17792
WAG;+G;12;-3457,19088;6938,38176;6989,31176
JTT;+G+F;31;-3446,51506;6955,03012;7086,59929
LG;+G;12;-3465,54844;6955,09688;7006,02688
JTT;+G+I+F;32;-3446,51713;6957,03426;7092,84760
LG;+G+I;13;-3465,54999;6957,09998;7012,27414
Dayhoff;+G;12;-3477,11946;6978,23892;7029,16892
DCMut;+G;12;-3477,20688;6978,41376;7029,34376
Dayhoff;+G+F;31;-3458,71067;6979,42134;7110,99051
DCMut;+G+F;31;-3458,77113;6979,54226;7111,11143
CpREV;+G;12;-3480,20143;6984,40286;7035,33286
RtREV;+G+F;31;-3463,62768;6989,25536;7120,82453
Blosum62;+G;12;-3485,14755;6994,29510;7045,22510
HIVb;+G+F;31;-3466,29794;6994,59588;7126,16505
Blosum62;+G+F;31;-3466,53443;6995,06886;7126,63803
AB;+G+F;31;-3468,14393;6998,28786;7129,85703
Flu;+G+F;31;-3472,47134;7006,94268;7138,51185
MtZoa;+G+F;31;-3478,21523;7018,43046;7149,99963
MtREV;+G+F;31;-3480,15426;7022,30852;7153,87769
RtREV;+G;12;-3500,96646;7025,93292;7076,86292
HIVb;+G;12;-3501,77587;7027,55174;7078,48174
MtArt;+G+F;31;-3500,65439;7063,30878;7194,87795
MtMam;+G+F;31;-3503,11671;7068,23342;7199,80259
HIVw;+G+F;31;-3504,89673;7071,79346;7203,36263
Flu;+G;12;-3526,65474;7077,30948;7128,23948
AB;+G;12;-3564,40852;7152,81704;7203,74704
HIVw;+G;12;-3603,40185;7230,80370;7281,73370
MtZoa;+G;12;-3613,42667;7250,85334;7301,78334
MtREV;+G;12;-3637,57596;7299,15192;7350,08192
MtMam;+G;12;-3668,48134;7360,96268;7411,89268
MtArt;+G;12;-3686,21185;7396,42370;7447,35370
