Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;27;-3971,94109;7997,88218;8111,24110
JTT;+G+I+F;28;-3971,93882;7999,87764;8117,43504
VT;+G+F;27;-3975,06494;8004,12988;8117,48880
Dayhoff;+G+F;27;-3975,93163;8005,86326;8119,22218
DCMut;+G+F;27;-3975,96019;8005,92038;8119,27930
JTT;+G;8;-3994,56906;8005,13812;8038,72594
JTT;+G+I;9;-3994,54383;8007,08766;8044,87396
WAG;+G+F;27;-3978,09607;8010,19214;8123,55106
LG;+G+F;27;-3983,37284;8020,74568;8134,10460
VT;+G;8;-4003,86307;8023,72614;8057,31396
WAG;+G;8;-4009,94173;8035,88346;8069,47128
Blosum62;+G+F;27;-3997,02714;8048,05428;8161,41320
LG;+G;8;-4017,70817;8051,41634;8085,00416
CpREV;+G+F;27;-3999,21786;8052,43572;8165,79464
LG;+G+I;9;-4017,70861;8053,41722;8091,20352
RtREV;+G+F;27;-4000,04355;8054,08710;8167,44602
HIVb;+G+F;27;-4002,87872;8059,75744;8173,11636
Flu;+G+F;27;-4004,00711;8062,01422;8175,37314
Blosum62;+G;8;-4025,14443;8066,28886;8099,87668
Dayhoff;+G;8;-4029,80151;8075,60302;8109,19084
DCMut;+G;8;-4029,80415;8075,60830;8109,19612
AB;+G+F;27;-4012,35440;8078,70880;8192,06772
MtREV;+G+F;27;-4015,57525;8085,15050;8198,50942
CpREV;+G;8;-4035,81324;8087,62648;8121,21430
MtZoa;+G+F;27;-4018,37696;8090,75392;8204,11284
HIVw;+G+F;27;-4022,82597;8099,65194;8213,01086
RtREV;+G;8;-4042,32359;8100,64718;8134,23500
HIVb;+G;8;-4047,10556;8110,21112;8143,79894
MtMam;+G+F;27;-4036,76038;8127,52076;8240,87968
Flu;+G;8;-4067,65155;8151,30310;8184,89092
MtArt;+G+F;27;-4049,69098;8153,38196;8266,74088
MtZoa;+G;8;-4107,27804;8230,55608;8264,14390
AB;+G;8;-4107,74946;8231,49892;8265,08674
MtREV;+G;8;-4119,86545;8255,73090;8289,31872
MtMam;+G;8;-4143,40434;8302,80868;8336,39650
HIVw;+G;8;-4166,18001;8348,36002;8381,94784
MtArt;+G;8;-4172,06216;8360,12432;8393,71214
