Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;148;-68666,48343;137628,96686;138451,85876
LG;+G+F;147;-68687,69272;137669,38544;138486,71726
LG;+G+I;129;-68781,90494;137821,80988;138539,06025
LG;+G;128;-68803,30803;137862,61606;138574,30635
WAG;+G+I+F;148;-68798,03078;137892,06156;138714,95346
JTT;+G+I;129;-68822,03374;137902,06748;138619,31785
JTT;+G+I+F;148;-68845,87599;137987,75198;138810,64388
VT;+G+I+F;148;-68852,46699;138000,93398;138823,82588
VT;+G+I;129;-68892,57708;138043,15416;138760,40453
WAG;+G+I;129;-68908,13622;138074,27244;138791,52281
RtREV;+G+I+F;148;-68962,77047;138221,54094;139044,43284
CpREV;+G+I+F;148;-69118,41269;138532,82538;139355,71728
Dayhoff;+G+I+F;148;-69224,72112;138745,44224;139568,33414
DCMut;+G+I+F;148;-69225,86734;138747,73468;139570,62658
Blosum62;+G+I+F;148;-69285,53813;138867,07626;139689,96816
CpREV;+G+I;129;-69385,84861;139029,69722;139746,94759
Blosum62;+G+I;129;-69396,54757;139051,09514;139768,34551
MtZoa;+G+I+F;148;-69638,55689;139573,11378;140396,00568
MtREV;+G+I+F;148;-69848,39130;139992,78260;140815,67450
Flu;+G+I+F;148;-69944,36576;140184,73152;141007,62342
HIVb;+G+I+F;148;-70061,74264;140419,48528;141242,37718
AB;+G+I+F;148;-70584,33828;141464,67656;142287,56846
MtArt;+G+I+F;148;-70589,18494;141474,36988;142297,26178
MtMam;+G+I+F;148;-71213,51123;142723,02246;143545,91436
HIVw;+G+I+F;148;-71762,87713;143821,75426;144644,64616
