Model;Decoration;K;Llk;AIC;BIC
VT;+G+I+F;86;-18940,14678;38052,29356;38442,82213
JTT;+G+I+F;86;-18940,81999;38053,63998;38444,16855
VT;+G+F;85;-18943,31856;38056,63712;38442,62466
WAG;+G+I+F;86;-18949,39288;38070,78576;38461,31433
JTT;+G+I;67;-18977,93927;38089,87854;38394,12754
LG;+G+I+F;86;-18961,67056;38095,34112;38485,86969
VT;+G+I;67;-18982,60717;38099,21434;38403,46334
VT;+G;66;-18987,12375;38106,24750;38405,95547
LG;+G+I;67;-19008,23384;38150,46768;38454,71668
LG;+G;66;-19015,24264;38162,48528;38462,19325
DCMut;+G+I+F;86;-19051,44525;38274,89050;38665,41907
Dayhoff;+G+I+F;86;-19051,65992;38275,31984;38665,84841
Blosum62;+G+I+F;86;-19061,77514;38295,55028;38686,07885
RtREV;+G+I+F;86;-19062,48715;38296,97430;38687,50287
CpREV;+G+I+F;86;-19064,59389;38301,18778;38691,71635
Blosum62;+G+I;67;-19099,93600;38333,87200;38638,12100
Flu;+G+I+F;86;-19140,11667;38452,23334;38842,76191
MtZoa;+G+I+F;86;-19170,01873;38512,03746;38902,56603
HIVb;+G+I+F;86;-19175,37315;38522,74630;38913,27487
MtREV;+G+I+F;86;-19206,13947;38584,27894;38974,80751
AB;+G+I+F;86;-19266,06100;38704,12200;39094,65057
MtArt;+G+I+F;86;-19398,01859;38968,03718;39358,56575
MtMam;+G+I+F;86;-19496,06890;39164,13780;39554,66637
HIVw;+G+I+F;86;-19512,03422;39196,06844;39586,59701
