Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;40;-4023,24685;8126,49370;8298,15646
JTT;+G+F;39;-4024,76799;8127,53598;8294,90717
JTT;+G;20;-4053,75908;8147,51816;8233,34954
JTT;+G+I;21;-4052,63961;8147,27922;8237,40217
CpREV;+G+F;39;-4036,06998;8150,13996;8317,51115
LG;+G+F;39;-4038,00517;8154,01034;8321,38153
MtREV;+G+F;39;-4040,88849;8159,77698;8327,14817
MtZoa;+G+F;39;-4040,64928;8159,29856;8326,66975
VT;+G+F;39;-4040,74617;8159,49234;8326,86353
HIVb;+G+F;39;-4044,34048;8166,68096;8334,05215
WAG;+G+F;39;-4047,55211;8173,10422;8340,47541
RtREV;+G+F;39;-4051,52808;8181,05616;8348,42735
Dayhoff;+G+F;39;-4052,55309;8183,10618;8350,47737
DCMut;+G+F;39;-4052,79996;8183,59992;8350,97111
Flu;+G+F;39;-4054,41314;8186,82628;8354,19747
WAG;+G;20;-4079,45099;8198,90198;8284,73336
MtMam;+G+F;39;-4060,70652;8199,41304;8366,78423
Dayhoff;+G;20;-4082,82679;8205,65358;8291,48496
DCMut;+G;20;-4083,00034;8206,00068;8291,83206
VT;+G;20;-4084,70573;8209,41146;8295,24284
LG;+G;20;-4091,77681;8223,55362;8309,38500
LG;+G+I;21;-4091,27748;8224,55496;8314,67791
Blosum62;+G+F;39;-4073,97305;8225,94610;8393,31729
CpREV;+G;20;-4095,12196;8230,24392;8316,07530
AB;+G+F;39;-4077,77695;8233,55390;8400,92509
MtArt;+G+F;39;-4080,08759;8238,17518;8405,54637
HIVb;+G;20;-4103,08147;8246,16294;8331,99432
RtREV;+G;20;-4106,23850;8252,47700;8338,30838
Blosum62;+G;20;-4120,19214;8280,38428;8366,21566
HIVw;+G+F;39;-4105,81968;8289,63936;8457,01055
Flu;+G;20;-4167,98911;8375,97822;8461,80960
AB;+G;20;-4179,80523;8399,61046;8485,44184
MtZoa;+G;20;-4226,08698;8492,17396;8578,00534
MtREV;+G;20;-4250,23443;8540,46886;8626,30024
MtMam;+G;20;-4281,09956;8602,19912;8688,03050
HIVw;+G;20;-4286,63461;8613,26922;8699,10060
MtArt;+G;20;-4345,09505;8730,19010;8816,02148
