Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;57;-13366,17708;26846,35416;27110,90154
LG;+G+I+F;58;-13366,01253;26848,02506;27117,21362
JTT;+G+F;57;-13384,35592;26882,71184;27147,25922
WAG;+G+F;57;-13390,87789;26895,75578;27160,30316
LG;+G;38;-13412,82339;26901,64678;27078,01170
LG;+G+I;39;-13412,72012;26903,44024;27084,44634
CpREV;+G+F;57;-13404,51408;26923,02816;27187,57554
VT;+G+F;57;-13408,20629;26930,41258;27194,95996
VT;+G;38;-13431,73720;26939,47440;27115,83932
RtREV;+G+F;57;-13432,59569;26979,19138;27243,73876
CpREV;+G;38;-13462,76942;27001,53884;27177,90376
MtZoa;+G+F;57;-13462,24906;27038,49812;27303,04550
Blosum62;+G+F;57;-13474,51875;27063,03750;27327,58488
Blosum62;+G;38;-13510,44129;27096,88258;27273,24750
Dayhoff;+G+F;57;-13494,31609;27102,63218;27367,17956
DCMut;+G+F;57;-13495,14783;27104,29566;27368,84304
Flu;+G+F;57;-13497,15842;27108,31684;27372,86422
HIVb;+G+F;57;-13498,79693;27111,59386;27376,14124
MtREV;+G+F;57;-13500,25304;27114,50608;27379,05346
MtArt;+G+F;57;-13566,26101;27246,52202;27511,06940
AB;+G+F;57;-13617,47029;27348,94058;27613,48796
MtMam;+G+F;57;-13638,50786;27391,01572;27655,56310
HIVw;+G+F;57;-13739,57709;27593,15418;27857,70156
