Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;170;-73472,72691;147285,45382;148223,06239
JTT;+G+F;169;-73479,79147;147297,58294;148229,67617
VT;+G+I+F;170;-73491,03801;147322,07602;148259,68459
JTT;+G+I;151;-73511,79354;147325,58708;148158,40411
JTT;+G;150;-73520,86444;147341,72888;148169,03056
LG;+G+I+F;170;-73507,22615;147354,45230;148292,06087
WAG;+G+I+F;170;-73513,12468;147366,24936;148303,85793
VT;+G+I;151;-73551,24703;147404,49406;148237,31109
LG;+G+I;151;-73605,95465;147513,90930;148346,72633
LG;+G;150;-73610,91656;147521,83312;148349,13480
CpREV;+G+I+F;170;-73800,64638;147941,29276;148878,90133
RtREV;+G+I+F;170;-73893,07047;148126,14094;149063,74951
CpREV;+G+I;151;-73939,13586;148180,27172;149013,08875
Blosum62;+G+I+F;170;-73981,75430;148303,50860;149241,11717
Blosum62;+G+I;151;-74068,51474;148439,02948;149271,84651
Dayhoff;+G+I+F;170;-74066,44450;148472,88900;149410,49757
DCMut;+G+I+F;170;-74066,51851;148473,03702;149410,64559
MtZoa;+G+I+F;170;-74469,73732;149279,47464;150217,08321
MtREV;+G+I+F;170;-74529,32453;149398,64906;150336,25763
HIVb;+G+I+F;170;-74555,32422;149450,64844;150388,25701
Flu;+G+I+F;170;-74590,33053;149520,66106;150458,26963
AB;+G+I+F;170;-75121,26067;150582,52134;151520,12991
MtArt;+G+I+F;170;-75538,98573;151417,97146;152355,58003
MtMam;+G+I+F;170;-75778,73440;151897,46880;152835,07737
HIVw;+G+I+F;170;-75835,65870;152011,31740;152948,92597
