Model;Decoration;K;Llk;AIC;BIC
JTT;+G+F;33;-6593,09036;13252,18072;13397,71649
JTT;+G+I+F;34;-6593,10253;13254,20506;13404,15100
WAG;+G+F;33;-6595,36236;13256,72472;13402,26049
VT;+G+F;33;-6596,46364;13258,92728;13404,46305
LG;+G+F;33;-6598,99214;13263,98428;13409,52005
CpREV;+G+F;33;-6602,57461;13271,14922;13416,68499
JTT;+G;14;-6630,10123;13288,20246;13349,94490
JTT;+G+I;15;-6630,11262;13290,22524;13356,37786
RtREV;+G+F;33;-6616,37786;13298,75572;13444,29149
VT;+G;14;-6637,98521;13303,97042;13365,71286
Dayhoff;+G+F;33;-6621,22335;13308,44670;13453,98247
DCMut;+G+F;33;-6621,66705;13309,33410;13454,86987
LG;+G;14;-6644,58109;13317,16218;13378,90462
LG;+G+I;15;-6644,59411;13319,18822;13385,34084
CpREV;+G;14;-6646,77477;13321,54954;13383,29198
Blosum62;+G+F;33;-6629,39686;13324,79372;13470,32949
WAG;+G;14;-6651,17542;13330,35084;13392,09328
MtREV;+G+F;33;-6643,83415;13353,66830;13499,20407
Blosum62;+G;14;-6663,33148;13354,66296;13416,40540
HIVb;+G+F;33;-6649,11747;13364,23494;13509,77071
MtZoa;+G+F;33;-6651,99875;13369,99750;13515,53327
Flu;+G+F;33;-6656,41312;13378,82624;13524,36201
AB;+G+F;33;-6686,49917;13438,99834;13584,53411
MtArt;+G+F;33;-6692,79389;13451,58778;13597,12355
Dayhoff;+G;14;-6712,70063;13453,40126;13515,14370
DCMut;+G;14;-6713,10792;13454,21584;13515,95828
RtREV;+G;14;-6717,61359;13463,22718;13524,96962
MtMam;+G+F;33;-6701,82419;13469,64838;13615,18415
HIVw;+G+F;33;-6711,29970;13488,59940;13634,13517
HIVb;+G;14;-6731,63717;13491,27434;13553,01678
Flu;+G;14;-6733,67876;13495,35752;13557,09996
MtZoa;+G;14;-6747,32148;13522,64296;13584,38540
MtREV;+G;14;-6803,23273;13634,46546;13696,20790
MtArt;+G;14;-6831,21685;13690,43370;13752,17614
AB;+G;14;-6841,13663;13710,27326;13772,01570
MtMam;+G;14;-6865,47749;13758,95498;13820,69742
HIVw;+G;14;-6886,09889;13800,19778;13861,94022
