Model;Decoration;K;Llk;AIC;BIC
LG;+G;28;-13156,73227;26369,46454;26515,94057
LG;+G+I;29;-13156,73164;26371,46328;26523,17060
VT;+G;28;-13185,48055;26426,96110;26573,43713
JTT;+G;28;-13187,99009;26431,98018;26578,45621
LG;+G+F;47;-13199,54647;26493,09294;26738,96342
LG;+G+I+F;48;-13199,54758;26495,09516;26746,19693
VT;+G+F;47;-13213,01527;26520,03054;26765,90102
JTT;+G+F;47;-13214,27890;26522,55780;26768,42828
WAG;+G;28;-13233,34653;26522,69306;26669,16909
WAG;+G+F;47;-13225,53375;26545,06750;26790,93798
Blosum62;+G;28;-13250,58375;26557,16750;26703,64353
MtZoa;+G+F;47;-13233,20895;26560,41790;26806,28838
CpREV;+G;28;-13256,30019;26568,60038;26715,07641
CpREV;+G+F;47;-13241,32196;26576,64392;26822,51440
RtREV;+G+F;47;-13241,46411;26576,92822;26822,79870
Dayhoff;+G+F;47;-13265,62853;26625,25706;26871,12754
DCMut;+G+F;47;-13265,80071;26625,60142;26871,47190
Blosum62;+G+F;47;-13268,36802;26630,73604;26876,60652
MtREV;+G+F;47;-13300,59584;26695,19168;26941,06216
DCMut;+G;28;-13347,24234;26750,48468;26896,96071
Flu;+G+F;47;-13328,49353;26750,98706;26996,85754
HIVb;+G+F;47;-13329,25695;26752,51390;26998,38438
MtArt;+G+F;47;-13336,19547;26766,39094;27012,26142
MtMam;+G+F;47;-13419,27700;26932,55400;27178,42448
AB;+G+F;47;-13425,75708;26945,51416;27191,38464
HIVw;+G+F;47;-13506,65287;27107,30574;27353,17622
MtZoa;+G;28;-13614,33745;27284,67490;27431,15093
MtArt;+G;28;-13803,18801;27662,37602;27808,85205
