Model;Decoration;K;Llk;AIC;BIC
VT;+G+I+F;90;-17623,00055;35426,00110;35881,75245
JTT;+G+I+F;90;-17630,83616;35441,67232;35897,42367
VT;+G+F;89;-17636,12246;35450,24492;35900,93237
LG;+G+I+F;90;-17643,62276;35467,24552;35922,99687
WAG;+G+I+F;90;-17645,43003;35470,86006;35926,61141
VT;+G+I;71;-17683,62411;35509,24822;35868,78540
LG;+G+I;71;-17690,64284;35523,28568;35882,82286
VT;+G;70;-17700,13611;35540,27222;35894,74549
LG;+G;70;-17708,48489;35556,96978;35911,44305
Blosum62;+G+I+F;90;-17697,38792;35574,77584;36030,52719
Blosum62;+G+I;71;-17731,38303;35604,76606;35964,30324
RtREV;+G+I+F;90;-17722,44253;35624,88506;36080,63641
CpREV;+G+I+F;90;-17724,91923;35629,83846;36085,58981
Dayhoff;+G+I+F;90;-17744,86108;35669,72216;36125,47351
DCMut;+G+I+F;90;-17744,88378;35669,76756;36125,51891
MtZoa;+G+I+F;90;-17795,33876;35770,67752;36226,42887
CpREV;+G+I;71;-17816,42544;35774,85088;36134,38806
Flu;+G+I+F;90;-17837,72396;35855,44792;36311,19927
MtREV;+G+I+F;90;-17841,62182;35863,24364;36318,99499
HIVb;+G+I+F;90;-17876,41483;35932,82966;36388,58101
AB;+G+I+F;90;-17940,55770;36061,11540;36516,86675
MtArt;+G+I+F;90;-18006,81443;36193,62886;36649,38021
MtMam;+G+I+F;90;-18065,60283;36311,20566;36766,95701
HIVw;+G+I+F;90;-18128,04331;36436,08662;36891,83797
