Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;35;-6896,34303;13862,68606;14014,59863
LG;+G+I+F;36;-6895,95118;13863,90236;14020,15529
WAG;+G+F;35;-6896,95919;13863,91838;14015,83095
VT;+G+F;35;-6912,82996;13895,65992;14047,57249
Dayhoff;+G+F;35;-6915,06251;13900,12502;14052,03759
DCMut;+G+F;35;-6915,28440;13900,56880;14052,48137
RtREV;+G+F;35;-6922,93080;13915,86160;14067,77417
Blosum62;+G+F;35;-6925,86507;13921,73014;14073,64271
CpREV;+G+F;35;-6930,37865;13930,75730;14082,66987
JTT;+G+F;35;-6935,05477;13940,10954;14092,02211
WAG;+G;16;-6968,53280;13969,06560;14038,51134
MtZoa;+G+F;35;-6958,41222;13986,82444;14138,73701
Flu;+G+F;35;-6964,53697;13999,07394;14150,98651
MtREV;+G+F;35;-6965,00463;14000,00926;14151,92183
LG;+G;16;-6985,68558;14003,37116;14072,81690
LG;+G+I;17;-6985,46215;14004,92430;14078,71040
VT;+G;16;-6987,32383;14006,64766;14076,09340
JTT;+G;16;-6989,67836;14011,35672;14080,80246
CpREV;+G;16;-6996,69930;14025,39860;14094,84434
Blosum62;+G;16;-6999,26331;14030,52662;14099,97236
HIVb;+G+F;35;-7001,64349;14073,28698;14225,19955
Dayhoff;+G;16;-7021,64658;14075,29316;14144,73890
DCMut;+G;16;-7021,72424;14075,44848;14144,89422
MtArt;+G+F;35;-7030,22630;14130,45260;14282,36517
RtREV;+G;16;-7055,49343;14142,98686;14212,43260
AB;+G+F;35;-7041,17957;14152,35914;14304,27171
MtMam;+G+F;35;-7046,47109;14162,94218;14314,85475
MtZoa;+G;16;-7081,34469;14194,68938;14264,13512
Flu;+G;16;-7098,24739;14228,49478;14297,94052
HIVb;+G;16;-7103,01091;14238,02182;14307,46756
HIVw;+G+F;35;-7123,52463;14317,04926;14468,96183
AB;+G;16;-7165,22398;14362,44796;14431,89370
MtREV;+G;16;-7198,70688;14429,41376;14498,85950
MtArt;+G;16;-7217,68604;14467,37208;14536,81782
MtMam;+G;16;-7280,85552;14593,71104;14663,15678
HIVw;+G;16;-7375,50468;14783,00936;14852,45510
