Model;Decoration;K;Llk;AIC;BIC
JTT;+G+I+F;54;-33729,54555;67567,09110;67874,88258
JTT;+G+F;53;-33731,17566;67568,35132;67870,44296
WAG;+G+I+F;54;-33823,91884;67755,83768;68063,62916
JTT;+G+I;35;-33843,22507;67756,45014;67955,94462
JTT;+G;34;-33845,60784;67759,21568;67953,01032
VT;+G+I+F;54;-33841,45244;67790,90488;68098,69636
LG;+G+I+F;54;-33907,05728;67922,11456;68229,90604
Dayhoff;+G+I+F;54;-33930,46932;67968,93864;68276,73012
DCMut;+G+I+F;54;-33930,58709;67969,17418;68276,96566
Flu;+G+I+F;54;-33979,36262;68066,72524;68374,51672
VT;+G+I;35;-34000,29059;68070,58118;68270,07566
CpREV;+G+I+F;54;-34000,31033;68108,62066;68416,41214
HIVb;+G+I+F;54;-34023,11197;68154,22394;68462,01542
WAG;+G+I;35;-34055,43751;68180,87502;68380,36950
Blosum62;+G+I+F;54;-34073,10826;68254,21652;68562,00800
RtREV;+G+I+F;54;-34094,79066;68297,58132;68605,37280
MtREV;+G+I+F;54;-34102,30644;68312,61288;68620,40436
LG;+G+I;35;-34143,18967;68356,37934;68555,87382
LG;+G;34;-34145,07550;68358,15100;68551,94564
MtZoa;+G+I+F;54;-34259,38661;68626,77322;68934,56470
AB;+G+I+F;54;-34291,34804;68690,69608;68998,48756
HIVw;+G+I+F;54;-34470,11789;69048,23578;69356,02726
MtMam;+G+I+F;54;-34471,98029;69051,96058;69359,75206
MtArt;+G+I+F;54;-34615,60446;69339,20892;69647,00040
