Model;Decoration;K;Llk;AIC;BIC
JTT;+G;4;-689,34776;1386,69552;1398,16565
JTT;+G+I;5;-689,40897;1388,81794;1403,15561
HIVb;+G;4;-691,98193;1391,96386;1403,43399
JTT;+G+F;23;-676,95307;1399,90614;1465,85943
VT;+G;4;-696,23198;1400,46396;1411,93409
JTT;+G+I+F;24;-677,03179;1402,06358;1470,88440
AB;+G+F;23;-680,70425;1407,40850;1473,36179
Flu;+G+F;23;-681,79911;1409,59822;1475,55151
HIVw;+G+F;23;-681,96996;1409,93992;1475,89321
LG;+G;4;-700,74270;1409,48540;1420,95553
WAG;+G;4;-701,28462;1410,56924;1422,03937
LG;+G+I;5;-700,74944;1411,49888;1425,83655
Flu;+G;4;-704,19196;1416,38392;1427,85405
MtREV;+G+F;23;-686,39993;1418,79986;1484,75315
Dayhoff;+G;4;-706,22285;1420,44570;1431,91583
DCMut;+G;4;-706,23516;1420,47032;1431,94045
Dayhoff;+G+F;23;-687,56058;1421,12116;1487,07445
DCMut;+G+F;23;-687,56218;1421,12436;1487,07765
MtZoa;+G+F;23;-687,68020;1421,36040;1487,31369
MtMam;+G+F;23;-689,11139;1424,22278;1490,17607
Blosum62;+G;4;-709,91484;1427,82968;1439,29981
RtREV;+G;4;-710,04849;1428,09698;1439,56711
MtArt;+G+F;23;-692,25616;1430,51232;1496,46561
CpREV;+G;4;-711,88586;1431,77172;1443,24185
CpREV;+G+F;23;-694,06475;1434,12950;1500,08279
HIVw;+G;4;-718,14668;1444,29336;1455,76349
AB;+G;4;-722,57148;1453,14296;1464,61309
MtZoa;+G;4;-727,45510;1462,91020;1474,38033
MtREV;+G;4;-729,44464;1466,88928;1478,35941
MtMam;+G;4;-734,89017;1477,78034;1489,25047
MtArt;+G;4;-737,02173;1482,04346;1493,51359
