Model;Decoration;K;Llk;AIC;BIC
VT;+G+F;37;-2691,87112;5457,74224;5582,11005
VT;+G+I+F;38;-2691,61241;5459,22482;5586,95392
CpREV;+G+F;37;-2694,45738;5462,91476;5587,28257
LG;+G+F;37;-2695,10286;5464,20572;5588,57353
WAG;+G+F;37;-2696,93739;5467,87478;5592,24259
JTT;+G+F;37;-2697,67038;5469,34076;5593,70857
Blosum62;+G+F;37;-2702,18422;5478,36844;5602,73625
MtZoa;+G+F;37;-2708,25960;5490,51920;5614,88701
RtREV;+G+F;37;-2713,47339;5500,94678;5625,31459
LG;+G;18;-2735,16566;5506,33132;5566,83457
LG;+G+I;19;-2735,12975;5508,25950;5572,12405
Dayhoff;+G+F;37;-2719,98697;5513,97394;5638,34175
DCMut;+G+F;37;-2719,96936;5513,93872;5638,30653
Blosum62;+G;18;-2740,32158;5516,64316;5577,14641
MtREV;+G+F;37;-2721,01261;5516,02522;5640,39303
CpREV;+G;18;-2740,51512;5517,03024;5577,53349
VT;+G;18;-2740,77769;5517,55538;5578,05863
VT;+G+I;19;-2740,50599;5519,01198;5582,87653
MtZoa;+G;18;-2748,28722;5532,57444;5593,07769
WAG;+G;18;-2748,97211;5533,94422;5594,44747
JTT;+G;18;-2751,92516;5539,85032;5600,35357
MtArt;+G+F;37;-2733,83773;5541,67546;5666,04327
HIVb;+G+F;37;-2734,95715;5543,91430;5668,28211
Flu;+G+F;37;-2735,63513;5545,27026;5669,63807
RtREV;+G;18;-2773,72406;5583,44812;5643,95137
HIVw;+G+F;37;-2760,86501;5595,73002;5720,09783
AB;+G+F;37;-2762,00480;5598,00960;5722,37741
MtMam;+G+F;37;-2762,22423;5598,44846;5722,81627
MtREV;+G;18;-2791,76252;5619,52504;5680,02829
MtArt;+G;18;-2792,99230;5621,98460;5682,48785
HIVb;+G;18;-2795,78673;5627,57346;5688,07671
Dayhoff;+G;18;-2806,07168;5648,14336;5708,64661
DCMut;+G;18;-2806,00520;5648,01040;5708,51365
Flu;+G;18;-2810,36161;5656,72322;5717,22647
MtMam;+G;18;-2834,01361;5704,02722;5764,53047
AB;+G;18;-2838,99331;5713,98662;5774,48987
HIVw;+G;18;-2893,19370;5822,38740;5882,89065
