Model;Decoration;K;Llk;AIC;BIC
LG;+G+I;55;-23433,99195;46977,98390;47248,18475
LG;+G;54;-23438,77973;46985,55946;47250,84757
WAG;+G+I+F;74;-23464,10008;47076,20016;47439,74312
JTT;+G+I+F;74;-23482,95239;47113,90478;47477,44774
JTT;+G+I;55;-23502,09838;47114,19676;47384,39761
LG;+G+I+F;74;-23488,18809;47124,37618;47487,91914
LG;+G+F;73;-23493,07936;47132,15872;47490,78894
WAG;+G+I;55;-23513,46749;47136,93498;47407,13583
VT;+G+I;55;-23529,68998;47169,37996;47439,58081
VT;+G+I+F;74;-23540,10667;47228,21334;47591,75630
CpREV;+G+I;55;-23576,56460;47263,12920;47533,33005
CpREV;+G+I+F;74;-23581,99141;47311,98282;47675,52578
Blosum62;+G+I;55;-23654,91865;47419,83730;47690,03815
Dayhoff;+G+I+F;74;-23640,72424;47429,44848;47792,99144
DCMut;+G+I+F;74;-23641,67812;47431,35624;47794,89920
RtREV;+G+I+F;74;-23680,06617;47508,13234;47871,67530
Blosum62;+G+I+F;74;-23680,82226;47509,64452;47873,18748
Flu;+G+I+F;74;-23699,37440;47546,74880;47910,29176
MtREV;+G+I+F;74;-23784,94052;47717,88104;48081,42400
MtZoa;+G+I+F;74;-23787,98220;47723,96440;48087,50736
Dayhoff;+G+I;55;-23813,68093;47737,36186;48007,56271
DCMut;+G+I;55;-23814,28660;47738,57320;48008,77405
HIVb;+G+I+F;74;-23856,52085;47861,04170;48224,58466
AB;+G+I+F;74;-23975,00743;48098,01486;48461,55782
MtArt;+G+I+F;74;-24140,96166;48429,92332;48793,46628
HIVw;+G+I+F;74;-24207,19726;48562,39452;48925,93748
MtMam;+G+I+F;74;-24217,20237;48582,40474;48945,94770
