Model;Decoration;K;Llk;AIC;BIC
LG;+G;66;-26524,89066;53181,78132;53494,96691
LG;+G+I;67;-26524,41507;53182,83014;53500,76097
LG;+G+F;85;-26510,99106;53191,98212;53595,32720
LG;+G+I+F;86;-26510,86425;53193,72850;53601,81882
CpREV;+G+F;85;-26616,84930;53403,69860;53807,04368
WAG;+G+F;85;-26617,75200;53405,50400;53808,84908
JTT;+G+F;85;-26668,02460;53506,04920;53909,39428
RtREV;+G+F;85;-26678,27359;53526,54718;53929,89226
VT;+G+F;85;-26685,69827;53541,39654;53944,74162
CpREV;+G;66;-26723,43935;53578,87870;53892,06429
MtZoa;+G+F;85;-26777,22909;53724,45818;54127,80326
Blosum62;+G+F;85;-26826,20898;53822,41796;54225,76304
Dayhoff;+G+F;85;-26842,96035;53855,92070;54259,26578
DCMut;+G+F;85;-26844,42031;53858,84062;54262,18570
MtREV;+G+F;85;-26984,13220;54138,26440;54541,60948
HIVb;+G+F;85;-27036,72287;54243,44574;54646,79082
Flu;+G+F;85;-27070,61103;54311,22206;54714,56714
MtArt;+G+F;85;-27085,63331;54341,26662;54744,61170
MtZoa;+G;66;-27152,85614;54437,71228;54750,89787
AB;+G+F;85;-27326,64124;54823,28248;55226,62756
MtMam;+G+F;85;-27382,75743;54935,51486;55338,85994
MtREV;+G;66;-27569,79362;55271,58724;55584,77283
HIVw;+G+F;85;-27713,79820;55597,59640;56000,94148
