Model;Decoration;K;Llk;AIC;BIC
LG;+G+F;23;-4837,71882;9721,43764;9832,39823
LG;+G+I+F;24;-4837,71973;9723,43946;9839,22442
VT;+G+F;23;-4839,36527;9724,73054;9835,69113
WAG;+G+F;23;-4841,49073;9728,98146;9839,94205
JTT;+G+F;23;-4843,13691;9732,27382;9843,23441
RtREV;+G+F;23;-4845,11396;9736,22792;9847,18851
Blosum62;+G+F;23;-4854,89933;9755,79866;9866,75925
Dayhoff;+G+F;23;-4855,22615;9756,45230;9867,41289
DCMut;+G+F;23;-4855,33661;9756,67322;9867,63381
CpREV;+G+F;23;-4858,84771;9763,69542;9874,65601
MtREV;+G+F;23;-4871,52012;9789,04024;9900,00083
Flu;+G+F;23;-4873,14321;9792,28642;9903,24701
MtZoa;+G+F;23;-4874,03543;9794,07086;9905,03145
HIVb;+G+F;23;-4884,09152;9814,18304;9925,14363
JTT;+G;4;-4912,81073;9833,62146;9852,91895
MtArt;+G+F;23;-4897,48962;9840,97924;9951,93983
MtMam;+G+F;23;-4897,02998;9840,05996;9951,02055
VT;+G;4;-4920,80691;9849,61382;9868,91131
AB;+G+F;23;-4904,98198;9855,96396;9966,92455
WAG;+G;4;-4928,12387;9864,24774;9883,54523
LG;+G;4;-4932,48596;9872,97192;9892,26941
LG;+G+I;5;-4932,48667;9874,97334;9899,09520
Blosum62;+G;4;-4934,13501;9876,27002;9895,56751
HIVw;+G+F;23;-4915,34711;9876,69422;9987,65481
RtREV;+G;4;-4935,04926;9878,09852;9897,39601
Dayhoff;+G;4;-4944,76954;9897,53908;9916,83657
DCMut;+G;4;-4944,83921;9897,67842;9916,97591
CpREV;+G;4;-4946,12085;9900,24170;9919,53919
Flu;+G;4;-4979,42935;9966,85870;9986,15619
HIVb;+G;4;-4982,62319;9973,24638;9992,54387
MtZoa;+G;4;-5011,11915;10030,23830;10049,53579
MtREV;+G;4;-5032,85946;10073,71892;10093,01641
MtMam;+G;4;-5059,13533;10126,27066;10145,56815
MtArt;+G;4;-5076,92088;10161,84176;10181,13925
AB;+G;4;-5102,07350;10212,14700;10231,44449
HIVw;+G;4;-5106,88760;10221,77520;10241,07269
