Model;Decoration;K;Llk;AIC;BIC
CpREV;+G+I+F;48;-1881,67822;3859,35644;3993,55438
CpREV;+G+F;47;-1883,94867;3861,89734;3993,29949
CpREV;+G+I;29;-1910,49821;3878,99642;3960,07434
VT;+G+F;47;-1892,07513;3878,15026;4009,55241
CpREV;+G;28;-1912,71554;3881,43108;3959,71321
WAG;+G+F;47;-1894,37160;3882,74320;4014,14535
VT;+G;28;-1914,92947;3885,85894;3964,14107
JTT;+G+F;47;-1896,65515;3887,31030;4018,71245
Blosum62;+G;28;-1917,46604;3890,93208;3969,21421
JTT;+G;28;-1917,39915;3890,79830;3969,08043
WAG;+G;28;-1917,93620;3891,87240;3970,15453
LG;+G;28;-1920,72011;3897,44022;3975,72235
LG;+G+I;29;-1919,77161;3897,54322;3978,62114
LG;+G+F;47;-1902,26183;3898,52366;4029,92581
HIVb;+G+F;47;-1904,73953;3903,47906;4034,88121
Blosum62;+G+F;47;-1905,03974;3904,07948;4035,48163
RtREV;+G+F;47;-1908,02182;3910,04364;4041,44579
Flu;+G+F;47;-1909,49560;3912,99120;4044,39335
MtREV;+G+F;47;-1909,58703;3913,17406;4044,57621
AB;+G+F;47;-1912,73886;3919,47772;4050,87987
Dayhoff;+G+F;47;-1918,98593;3931,97186;4063,37401
DCMut;+G+F;47;-1918,83567;3931,67134;4063,07349
MtZoa;+G+F;47;-1920,12455;3934,24910;4065,65125
AB;+G;28;-1941,94126;3939,88252;4018,16465
RtREV;+G;28;-1943,94380;3943,88760;4022,16973
Dayhoff;+G;28;-1945,35610;3946,71220;4024,99433
DCMut;+G;28;-1945,21691;3946,43382;4024,71595
HIVb;+G;28;-1948,41229;3952,82458;4031,10671
MtZoa;+G;28;-1948,53506;3953,07012;4031,35225
Flu;+G;28;-1956,70024;3969,40048;4047,68261
MtMam;+G+F;47;-1940,16346;3974,32692;4105,72907
HIVw;+G+F;47;-1945,30939;3984,61878;4116,02093
MtArt;+G+F;47;-1945,29667;3984,59334;4115,99549
MtREV;+G;28;-1978,94571;4013,89142;4092,17355
MtArt;+G;28;-1996,17206;4048,34412;4126,62625
MtMam;+G;28;-2009,58168;4075,16336;4153,44549
HIVw;+G;28;-2026,45945;4108,91890;4187,20103
